ts	run	board	white	black	result	plies	wpc	bpc	wms	bms	wcpu	bcpu	wmv	bmv	wnod	bnod	wed	bed	wsn	bsn	seed	par
2026-07-04T03:50:39Z	20260704T035039Z	boards/board1.txt	ab(d2)@1.classic(t1,c4,w0,l0)@1	ab(d4)@1.classic(t1,c4,w0,l0)@1.dil(r10)@1	B	46			0.119	3.930			23	23	2455	99736	0.00	0.00	0	0	3452350655	1
2026-07-04T03:50:39Z	20260704T035039Z	boards/board1.txt	ab(d4)@1.classic(t1,c4,w0,l0)@1.dil(r10)@1	ab(d2)@1.classic(t1,c4,w0,l0)@1	W	25			2.040	0.051			13	12	52052	1065	0.00	0.00	0	0	1748187756	1
2026-07-04T03:50:39Z	20260704T035039Z	boards/board1.txt	ab(d2)@1.classic(t1,c4,w0,l0)@1	ab(d4)@1.classic(t1,c4,w0,l0)@1	B	24			0.051	2.064			12	12	1126	50385	0.00	0.00	0	0	3000981026	1
2026-07-04T03:50:39Z	20260704T035039Z	boards/board1.txt	ab(d4)@1.classic(t1,c4,w0,l0)@1	ab(d2)@1.classic(t1,c4,w0,l0)@1	W	25			2.028	0.051			13	12	52052	1065	0.00	0.00	0	0	1739418133	1
2026-07-04T03:50:39Z	20260704T035039Z	boards/board1.txt	ab(d2)@1.classic(t1,c4,w0,l0)@1	ab(d4)@1.exp(t1,c4,w0,l0,f2)@1	W	65			0.167	16.919			33	32	3698	337342	0.00	0.00	0	0	1506097881	1
2026-07-04T03:50:39Z	20260704T035039Z	boards/board1.txt	ab(d4)@1.exp(t1,c4,w0,l0,f2)@1	ab(d2)@1.classic(t1,c4,w0,l0)@1	W	69			16.936	0.189			35	34	352255	3728	0.00	0.00	0	0	1028817534	1
2026-07-04T03:50:39Z	20260704T035039Z	boards/board1.txt	ab(d2)@1.classic(t1,c4,w0,l0)@1	ab(d6,nb200k)@1.classic(t1,c4,w0,l0)@1	B	24			0.053	54.213			12	12	1126	1339050	0.00	0.00	0	0	2949186183	1
2026-07-04T03:50:39Z	20260704T035039Z	boards/board1.txt	ab(d6,nb200k)@1.classic(t1,c4,w0,l0)@1	ab(d2)@1.classic(t1,c4,w0,l0)@1	W	25			58.863	0.053			13	12	1450217	1065	0.00	0.00	0	0	2534470208	1
2026-07-04T03:50:39Z	20260704T035039Z	boards/board1.txt	ab(d2)@1.classic(t1,c4,w0,l0)@1	ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@1	B	24			0.057	71.918			12	12	1126	375735	0.00	0.00	0	0	3303180094	1
2026-07-04T03:50:39Z	20260704T035039Z	boards/board1.txt	ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@1	ab(d2)@1.classic(t1,c4,w0,l0)@1	W	29			103.187	0.081			15	14	556806	1528	0.00	0.00	0	0	4270023201	1
2026-07-04T03:50:39Z	20260704T035039Z	boards/board1.txt	ab(d2)@1.classic(t1,c4,w0,l0)@1	greedy@1.classic(t1,c4,w0,l0)@1	B	48			0.120	0.014			24	24	2897	0	0.00	0.00	0	0	3203993406	1
2026-07-04T03:50:39Z	20260704T035039Z	boards/board1.txt	greedy@1.classic(t1,c4,w0,l0)@1	ab(d2)@1.classic(t1,c4,w0,l0)@1	B	64			0.020	0.208			32	32	0	4467	0.00	0.00	0	0	1636730837	1
2026-07-04T03:50:39Z	20260704T035039Z	boards/board1.txt	ab(d2)@1.classic(t1,c4,w0,l0)@1	greedy@1.classic(t2,c10,w3,l2)@1	W	91			0.249	0.130			46	45	5662	0	0.00	0.00	0	0	3236796443	1
2026-07-04T03:50:39Z	20260704T035039Z	boards/board1.txt	greedy@1.classic(t2,c10,w3,l2)@1	ab(d2)@1.classic(t1,c4,w0,l0)@1	B	66			0.109	0.185			33	33	0	3705	0.00	0.00	0	0	141333268	1
2026-07-04T03:50:39Z	20260704T035039Z	boards/board1.txt	ab(d2)@1.classic(t1,c4,w0,l0)@1	rand@1	W	21			0.048	0.004			11	10	1046	0	0.00	0.00	0	0	2069774743	1
2026-07-04T03:50:39Z	20260704T035039Z	boards/board1.txt	rand@1	ab(d2)@1.classic(t1,c4,w0,l0)@1	B	12			0.003	0.024			6	6	0	419	0.00	0.00	0	0	2033094732	1
2026-07-04T03:50:39Z	20260704T035039Z	boards/board1.txt	ab(d2)@1.classic(t1,c4,w0,l0)@1	smart(4)@1	W	55			0.200	0.011			28	27	4725	0	0.00	0.00	0	0	333666130	1
2026-07-04T03:50:39Z	20260704T035039Z	boards/board1.txt	smart(4)@1	ab(d2)@1.classic(t1,c4,w0,l0)@1	B	56			0.010	0.181			28	28	0	3958	0.00	0.00	0	0	2139542159	1
2026-07-04T03:50:39Z	20260704T035039Z	boards/board1.txt	ab(d2)@1.classic(t1,c4,w0,l0)@1	tiered@1	W	57			0.151	0.011			29	28	3613	0	0.00	0.00	0	0	2532377277	1
2026-07-04T03:50:39Z	20260704T035039Z	boards/board1.txt	tiered@1	ab(d2)@1.classic(t1,c4,w0,l0)@1	B	30			0.007	0.078			15	15	0	1566	0.00	0.00	0	0	941079254	1
2026-07-04T03:50:39Z	20260704T035039Z	boards/board1.txt	ab(d4)@1.classic(t1,c4,w0,l0)@1.dil(r10)@1	ab(d4)@1.classic(t1,c4,w0,l0)@1	B	30			2.130	2.293			15	15	53621	55895	0.00	0.00	0	0	3582420633	1
2026-07-04T03:50:39Z	20260704T035039Z	boards/board1.txt	ab(d4)@1.classic(t1,c4,w0,l0)@1	ab(d4)@1.classic(t1,c4,w0,l0)@1.dil(r10)@1	W	41			3.035	3.105			21	20	79306	77670	0.00	0.00	0	0	2835627026	1
2026-07-04T03:50:39Z	20260704T035039Z	boards/board1.txt	ab(d4)@1.classic(t1,c4,w0,l0)@1.dil(r10)@1	ab(d4)@1.exp(t1,c4,w0,l0,f2)@1	W	43			2.274	7.264			22	21	55930	143287	0.00	0.00	0	0	2373115488	1
2026-07-04T03:50:39Z	20260704T035039Z	boards/board1.txt	ab(d4)@1.exp(t1,c4,w0,l0,f2)@1	ab(d4)@1.classic(t1,c4,w0,l0)@1.dil(r10)@1	W	43			14.079	3.420			22	21	298245	79761	0.00	0.00	0	0	72787395	1
2026-07-04T03:50:39Z	20260704T035039Z	boards/board1.txt	ab(d4)@1.classic(t1,c4,w0,l0)@1.dil(r10)@1	ab(d6,nb200k)@1.classic(t1,c4,w0,l0)@1	B	36			2.571	84.046			18	18	64735	2063362	0.00	0.00	0	0	3223996806	1
2026-07-04T03:50:40Z	20260704T035039Z	boards/board1.txt	ab(d6,nb200k)@1.classic(t1,c4,w0,l0)@1	ab(d4)@1.classic(t1,c4,w0,l0)@1.dil(r10)@1	W	31			75.259	2.437			16	15	1829056	59255	0.00	0.00	0	0	2496421117	1
2026-07-04T03:50:40Z	20260704T035039Z	boards/board1.txt	ab(d4)@1.classic(t1,c4,w0,l0)@1.dil(r10)@1	ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@1	B	34			2.379	106.362			17	17	60403	582125	0.00	0.00	0	0	241306153	1
2026-07-04T03:50:40Z	20260704T035039Z	boards/board1.txt	ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@1	ab(d4)@1.classic(t1,c4,w0,l0)@1.dil(r10)@1	W	33			83.187	2.707			17	16	429499	65082	0.00	0.00	0	0	2624810614	1
2026-07-04T03:50:40Z	20260704T035039Z	boards/board1.txt	ab(d4)@1.classic(t1,c4,w0,l0)@1.dil(r10)@1	greedy@1.classic(t1,c4,w0,l0)@1	W	23			1.496	0.007			12	11	36946	0	0.00	0.00	0	0	3565702957	1
2026-07-04T03:50:40Z	20260704T035039Z	boards/board1.txt	greedy@1.classic(t1,c4,w0,l0)@1	ab(d4)@1.classic(t1,c4,w0,l0)@1.dil(r10)@1	B	22			0.008	1.413			11	11	0	33067	0.00	0.00	0	0	4038502226	1
2026-07-04T03:50:40Z	20260704T035039Z	boards/board1.txt	ab(d4)@1.classic(t1,c4,w0,l0)@1.dil(r10)@1	greedy@1.classic(t2,c10,w3,l2)@1	W	73			4.314	0.111			37	36	104226	0	0.00	0.00	0	0	2297424574	1
2026-07-04T03:50:40Z	20260704T035039Z	boards/board1.txt	greedy@1.classic(t2,c10,w3,l2)@1	ab(d4)@1.classic(t1,c4,w0,l0)@1.dil(r10)@1	B	80			0.125	4.601			40	40	0	99577	0.00	0.00	0	0	3099472681	1
2026-07-04T03:50:40Z	20260704T035039Z	boards/board1.txt	ab(d4)@1.classic(t1,c4,w0,l0)@1.dil(r10)@1	rand@1	W	19			1.581	0.006			10	9	27136	0	0.00	0.00	0	0	3876230334	1
2026-07-04T03:50:40Z	20260704T035039Z	boards/board1.txt	rand@1	ab(d4)@1.classic(t1,c4,w0,l0)@1.dil(r10)@1	B	16			0.005	1.265			8	8	0	16984	0.00	0.00	0	0	1564241441	1
2026-07-04T03:50:40Z	20260704T035039Z	boards/board1.txt	ab(d4)@1.classic(t1,c4,w0,l0)@1.dil(r10)@1	smart(4)@1	W	37			3.503	0.009			19	18	82173	0	0.00	0.00	0	0	406932047	1
2026-07-04T03:50:40Z	20260704T035039Z	boards/board1.txt	smart(4)@1	ab(d4)@1.classic(t1,c4,w0,l0)@1.dil(r10)@1	B	46			0.013	4.619			23	23	0	106668	0.00	0.00	0	0	1303051996	1
2026-07-04T03:50:40Z	20260704T035039Z	boards/board1.txt	ab(d4)@1.classic(t1,c4,w0,l0)@1.dil(r10)@1	tiered@1	W	39			3.982	0.010			20	19	96377	0	0.00	0.00	0	0	482302220	1
2026-07-04T03:50:40Z	20260704T035039Z	boards/board1.txt	tiered@1	ab(d4)@1.classic(t1,c4,w0,l0)@1.dil(r10)@1	B	38			0.010	3.432			19	19	0	78926	0.00	0.00	0	0	2764574843	1
2026-07-04T03:50:40Z	20260704T035039Z	boards/board1.txt	ab(d4)@1.classic(t1,c4,w0,l0)@1	ab(d4)@1.exp(t1,c4,w0,l0,f2)@1	W	37			2.233	5.536			19	18	54872	112616	0.00	0.00	0	0	3751159999	1
2026-07-04T03:50:40Z	20260704T035039Z	boards/board1.txt	ab(d4)@1.exp(t1,c4,w0,l0,f2)@1	ab(d4)@1.classic(t1,c4,w0,l0)@1	B	52			14.894	3.874			26	26	321035	93353	0.00	0.00	0	0	3411698996	1
2026-07-04T03:50:40Z	20260704T035039Z	boards/board1.txt	ab(d4)@1.classic(t1,c4,w0,l0)@1	ab(d6,nb200k)@1.classic(t1,c4,w0,l0)@1	B	36			2.643	84.778			18	18	64735	2063362	0.00	0.00	0	0	3788907545	1
2026-07-04T03:50:40Z	20260704T035039Z	boards/board1.txt	ab(d6,nb200k)@1.classic(t1,c4,w0,l0)@1	ab(d4)@1.classic(t1,c4,w0,l0)@1	W	33			76.883	2.546			17	16	1827640	60245	0.00	0.00	0	0	2371695442	1
2026-07-04T03:50:40Z	20260704T035039Z	boards/board1.txt	ab(d4)@1.classic(t1,c4,w0,l0)@1	ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@1	B	38			2.828	92.185			19	19	68771	486848	0.00	0.00	0	0	1118212124	1
2026-07-04T03:50:40Z	20260704T035039Z	boards/board1.txt	ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@1	ab(d4)@1.classic(t1,c4,w0,l0)@1	B	33			76.860	3.031			17	16	389606	72535	0.00	0.00	0	0	1213056379	1
2026-07-04T03:50:40Z	20260704T035039Z	boards/board1.txt	ab(d4)@1.classic(t1,c4,w0,l0)@1	greedy@1.classic(t1,c4,w0,l0)@1	W	23			1.497	0.008			12	11	36946	0	0.00	0.00	0	0	2347328812	1
2026-07-04T03:50:40Z	20260704T035039Z	boards/board1.txt	greedy@1.classic(t1,c4,w0,l0)@1	ab(d4)@1.classic(t1,c4,w0,l0)@1	B	22			0.008	1.420			11	11	0	33067	0.00	0.00	0	0	1235609607	1
2026-07-04T03:50:40Z	20260704T035039Z	boards/board1.txt	ab(d4)@1.classic(t1,c4,w0,l0)@1	greedy@1.classic(t2,c10,w3,l2)@1	W	45			3.121	0.075			23	22	75206	0	0.00	0.00	0	0	1353129041	1
2026-07-04T03:50:40Z	20260704T035039Z	boards/board1.txt	greedy@1.classic(t2,c10,w3,l2)@1	ab(d4)@1.classic(t1,c4,w0,l0)@1	B	82			0.127	4.852			41	41	0	106897	0.00	0.00	0	0	1312334174	1
2026-07-04T03:50:40Z	20260704T035039Z	boards/board1.txt	ab(d4)@1.classic(t1,c4,w0,l0)@1	rand@1	W	13			0.714	0.003			7	6	16955	0	0.00	0.00	0	0	2367562093	1
2026-07-04T03:50:40Z	20260704T035039Z	boards/board1.txt	rand@1	ab(d4)@1.classic(t1,c4,w0,l0)@1	B	18			0.004	1.338			9	9	0	30531	0.00	0.00	0	0	609302390	1
2026-07-04T03:50:40Z	20260704T035039Z	boards/board1.txt	ab(d4)@1.classic(t1,c4,w0,l0)@1	smart(4)@1	W	37			3.491	0.008			19	18	88390	0	0.00	0.00	0	0	3185134512	1
2026-07-04T03:50:40Z	20260704T035039Z	boards/board1.txt	smart(4)@1	ab(d4)@1.classic(t1,c4,w0,l0)@1	B	40			0.009	3.254			20	20	0	74498	0.00	0.00	0	0	1783112733	1
2026-07-04T03:50:40Z	20260704T035039Z	boards/board1.txt	ab(d4)@1.classic(t1,c4,w0,l0)@1	tiered@1	W	29			2.059	0.007			15	14	48594	0	0.00	0.00	0	0	993717983	1
2026-07-04T03:50:40Z	20260704T035039Z	boards/board1.txt	tiered@1	ab(d4)@1.classic(t1,c4,w0,l0)@1	B	44			0.010	3.471			22	22	0	78477	0.00	0.00	0	0	2102609068	1
2026-07-04T03:50:40Z	20260704T035039Z	boards/board1.txt	ab(d4)@1.exp(t1,c4,w0,l0,f2)@1	ab(d6,nb200k)@1.classic(t1,c4,w0,l0)@1	B	52			14.546	121.919			26	26	300376	2935041	0.00	0.00	0	0	1057161548	1
2026-07-04T03:50:40Z	20260704T035039Z	boards/board1.txt	ab(d6,nb200k)@1.classic(t1,c4,w0,l0)@1	ab(d4)@1.exp(t1,c4,w0,l0,f2)@1	W	37			98.785	5.669			19	18	2468462	112765	0.00	0.00	0	0	3167258175	1
2026-07-04T03:50:41Z	20260704T035039Z	boards/board1.txt	ab(d4)@1.exp(t1,c4,w0,l0,f2)@1	ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@1	B	52			14.111	214.890			26	26	300813	1173513	0.00	0.00	0	0	735083435	1
2026-07-04T03:50:41Z	20260704T035039Z	boards/board1.txt	ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@1	ab(d4)@1.exp(t1,c4,w0,l0,f2)@1	W	29			61.337	4.851			15	14	323848	99921	0.00	0.00	0	0	1585553712	1
2026-07-04T03:50:41Z	20260704T035039Z	boards/board1.txt	ab(d4)@1.exp(t1,c4,w0,l0,f2)@1	greedy@1.classic(t1,c4,w0,l0)@1	W	27			5.042	0.009			14	13	107075	0	0.00	0.00	0	0	2655230991	1
2026-07-04T03:50:41Z	20260704T035039Z	boards/board1.txt	greedy@1.classic(t1,c4,w0,l0)@1	ab(d4)@1.exp(t1,c4,w0,l0,f2)@1	B	32			0.011	7.983			16	16	0	166718	0.00	0.00	0	0	582926692	1
2026-07-04T03:50:41Z	20260704T035039Z	boards/board1.txt	ab(d4)@1.exp(t1,c4,w0,l0,f2)@1	greedy@1.classic(t2,c10,w3,l2)@1	W	51			10.887	0.088			26	25	231640	0	0.00	0.00	0	0	1101520688	1
2026-07-04T03:50:41Z	20260704T035039Z	boards/board1.txt	greedy@1.classic(t2,c10,w3,l2)@1	ab(d4)@1.exp(t1,c4,w0,l0,f2)@1	B	62			0.107	13.630			31	31	0	265729	0.00	0.00	0	0	3971415699	1
