ts	run	board	white	black	result	plies	wpc	bpc	wms	bms	wcpu	bcpu	wmv	bmv	wnod	bnod	wed	bed	wsn	bsn	seed	par
2026-07-26T21:40:14Z	20260726T214014Z	boards/board1.txt	ab(d2)@1.classic(t1,c4,w0,l0)@2.opener(rand,4)@1	ab(d4)@1.classic(t1,c4,w0,l0)@2.opener(rand,4)@1	B	48	13	12	0.236	9.892	0.000	15.625	24	24	3274	165398	37.00	80.00	20	20	874933359	12
2026-07-26T21:40:15Z	20260726T214014Z	boards/board1.txt	ab(d2)@1.classic(t1,c4,w0,l0)@2.opener(rand,4)@1	ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@2.dil(r63)@1.opener(rand,4)@1	W	21	16	12	0.055	24.812	0.000	31.250	11	10	602	70142	14.00	6.00	7	1	2029889827	12
2026-07-26T21:40:15Z	20260726T214014Z	boards/board1.txt	ab(d2)@1.classic(t1,c4,w0,l0)@2.opener(rand,4)@1	ab(d6,tt,ord,nb200k)@1.learned(s3,68364898,value,lin,129-1,con100)@1.opener(rand,4)@1	B	62	10	8	0.260	643.761	0.000	562.500	31	31	2889	2095045	52.00	149.00	27	27	3747454998	12
2026-07-26T21:40:16Z	20260726T214014Z	boards/board1.txt	ab(d2)@1.classic(t1,c4,w0,l0)@2.opener(rand,4)@1	ab(d6,tt,ord,nb200k)@1.learned(s98,5801570e,value,lin,129-1,con100)@1.opener(rand,4)@1	B	42	14	13	0.253	574.771	0.000	484.375	21	21	2817	1428674	32.00	88.00	17	17	1624047909	12
2026-07-26T21:40:16Z	20260726T214014Z	boards/board1.txt	ab(d2)@1.classic(t1,c4,w0,l0)@2.opener(rand,4)@1	rand@1	W	27	16	14	0.089	0.008	0.000	0.000	14	13	1148	0	20.00	0.00	10	0	1947337932	12
2026-07-26T21:40:16Z	20260726T214014Z	boards/board1.txt	ab(d4)@1.classic(t1,c4,w0,l0)@2.opener(rand,4)@1	ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@2.dil(r63)@1.opener(rand,4)@1	W	23	16	14	3.370	42.764	0.000	46.875	12	11	48566	123279	32.00	12.00	8	2	1380509389	12
2026-07-26T21:40:16Z	20260726T214014Z	boards/board1.txt	ab(d4)@1.classic(t1,c4,w0,l0)@2.opener(rand,4)@1	ab(d6,tt,ord,nb200k)@1.learned(s3,68364898,value,lin,129-1,con100)@1.opener(rand,4)@1	B	46	10	11	7.703	527.705	0.000	453.125	23	23	106209	1419934	69.00	100.00	19	19	2272904420	12
2026-07-26T21:40:17Z	20260726T214014Z	boards/board1.txt	ab(d4)@1.classic(t1,c4,w0,l0)@2.opener(rand,4)@1	ab(d6,tt,ord,nb200k)@1.learned(s98,5801570e,value,lin,129-1,con100)@1.opener(rand,4)@1	B	54	10	12	7.356	358.212	0.000	328.125	27	27	110906	1127595	85.00	124.00	23	23	4029118819	12
2026-07-26T21:40:17Z	20260726T214014Z	boards/board1.txt	ab(d4)@1.classic(t1,c4,w0,l0)@2.opener(rand,4)@1	rand@1	W	23	16	13	4.042	0.010	0.000	0.000	12	11	42476	0	32.00	0.00	8	0	2844269626	12
2026-07-26T21:40:18Z	20260726T214014Z	boards/board1.txt	ab(d6,ord,nb200k)@1.adv(t20,c77,w0,l0,f0,d-2,e0,m0,h0,b1,o0,r0,x0,n0,s1,g1)@1.opener(rand,4)@1	ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@2.opener(rand,4)@1	W	42	12	11	844.804	279.511	781.250	265.625	21	21	2310709	913057	91.47	88.00	17	17	2931509545	12
2026-07-26T21:40:19Z	20260726T214014Z	boards/board1.txt	ab(d6,ord,nb200k)@1.adv(t20,c77,w0,l0,f0,d-2,e0,m0,h0,b1,o0,r0,x0,n0,s1,g1)@1.opener(rand,4)@1	ab(d6,tt,ord,nb200k)@1.learned(s6,eac8ab99,value,lin,129-1,con100)@1.opener(rand,4)@1	B	53	10	9	1078.834	565.242	1078.125	437.500	27	26	2918890	2081775	121.28	121.94	23	22	4143216785	12
2026-07-26T21:40:21Z	20260726T214014Z	boards/board1.txt	ab(d6,ord,nb200k)@1.adv(t20,c77,w0,l0,f0,d-2,e0,m0,h0,b1,o0,r0,x0,n0,s1,g1)@1.opener(rand,4)@1	ab(d6,tt,ord,qs,nb200k)@1.learned(s98,5801570e,value,lin,129-1,con100)@1.opener(rand,4)@1	B	57	10	9	1142.675	729.383	1015.625	703.125	29	28	3007065	2121056	136.00	135.00	25	24	3686320771	12
2026-07-26T21:40:22Z	20260726T214014Z	boards/board1.txt	ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@2.dil(r30,d4)@1.opener(rand,4)@1	ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@2.dil(r63)@1.opener(rand,4)@1	W	35	14	12	148.524	126.767	140.625	140.625	18	17	436566	353120	71.00	42.00	14	7	613555035	12
2026-07-26T21:40:23Z	20260726T214014Z	boards/board1.txt	ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@2.dil(r30,d4)@1.opener(rand,4)@1	ab(d6,tt,ord,nb200k)@1.learned(s3,68364898,value,lin,129-1,con100)@1.opener(rand,4)@1	B	71	7	9	307.183	666.723	187.500	687.500	36	35	841786	1924303	159.00	177.00	32	31	1288072638	12
2026-07-26T21:40:23Z	20260726T214014Z	boards/board1.txt	ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@2.dil(r30,d4)@1.opener(rand,4)@1	ab(d6,tt,ord,nb200k)@1.learned(s98,5801570e,value,lin,129-1,con100)@1.opener(rand,4)@1	B	37	10	12	64.809	301.361	62.500	296.875	19	18	223995	820651	63.00	75.00	15	14	2467753101	12
2026-07-26T21:40:23Z	20260726T214014Z	boards/board1.txt	ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@2.dil(r30,d4)@1.opener(rand,4)@1	rand@1	W	21	16	14	97.303	0.011	93.750	0.000	11	10	294987	0	35.00	0.00	7	0	143731700	12
2026-07-26T21:40:23Z	20260726T214014Z	boards/board1.txt	ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@2.dil(r63)@1.opener(rand,4)@1	ab(d6,tt,ord,nb200k)@1.learned(s3,68364898,value,lin,129-1,con100)@1.opener(rand,4)@1	B	18	13	16	0.011	70.189	0.000	62.500	9	9	0	199787	0.00	25.00	0	5	1178568982	12
2026-07-26T21:40:23Z	20260726T214014Z	boards/board1.txt	ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@2.dil(r63)@1.opener(rand,4)@1	ab(d6,tt,ord,nb200k)@1.learned(s98,5801570e,value,lin,129-1,con100)@1.opener(rand,4)@1	B	42	10	14	102.109	271.628	93.750	265.625	21	21	318288	718580	43.00	89.00	8	17	850127909	12
2026-07-26T21:40:24Z	20260726T214014Z	boards/board1.txt	ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@2.dil(r63)@1.opener(rand,4)@1	rand@1	W	25	16	14	73.878	0.011	78.125	0.000	13	12	218978	0	19.00	0.00	4	0	1220677068	12
2026-07-26T21:40:24Z	20260726T214014Z	boards/board1.txt	ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@2.opener(rand,4)@1	ab(d6,tt,ord,nb200k)@1.learned(s6,eac8ab99,value,lin,129-1,con100)@1.opener(rand,4)@1	B	45	12	11	284.044	487.665	265.625	453.125	23	22	727628	1341981	100.00	99.00	19	18	509919977	12
2026-07-26T21:40:25Z	20260726T214014Z	boards/board1.txt	ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@2.opener(rand,4)@1	ab(d6,tt,ord,qs,nb200k)@1.learned(s98,5801570e,value,lin,129-1,con100)@1.opener(rand,4)@1	W	59	11	9	411.592	732.633	359.375	625.000	30	29	1001787	2096296	142.00	136.00	26	25	216847819	12
2026-07-26T21:40:36Z	20260726T214014Z	boards/board1.txt	ab(d6,tt,ord,nb200k)@1.learned(s111,78ef6974,dist,mlp,129-512-8-1,sig129-64-1,con100)@1.opener(rand,4)@1	ab(d6,tt,ord,nb200k)@1.learned(s3,68364898,value,lin,129-1,con100)@1.opener(rand,4)@1	W	76	8	6	10199.081	777.563	9343.750	781.250	38	38	1987100	2449097	195.00	190.00	34	34	2988879039	12
2026-07-26T21:40:52Z	20260726T214014Z	boards/board1.txt	ab(d6,tt,ord,nb200k)@1.learned(s111,78ef6974,dist,mlp,129-512-8-1,sig129-64-1,con100)@1.opener(rand,4)@1	ab(d6,tt,ord,nb200k)@1.learned(s98,5801570e,value,lin,129-1,con100)@1.opener(rand,4)@1	B	77	6	7	15032.622	699.239	13578.125	687.500	39	38	2854233	1874269	194.08	194.62	35	34	2700839930	12
2026-07-26T21:40:59Z	20260726T214014Z	boards/board1.txt	ab(d6,tt,ord,nb200k)@1.learned(s111,78ef6974,dist,mlp,129-512-8-1,sig129-64-1,con100)@1.opener(rand,4)@1	rand@1	W	31	16	10	7035.388	0.025	6281.250	0.000	16	15	1471027	0	66.77	0.00	12	0	3422167817	12
2026-07-26T21:41:00Z	20260726T214014Z	boards/board1.txt	ab(d6,tt,ord,nb200k)@1.learned(s3,68364898,value,lin,129-1,con100)@1.opener(rand,4)@1	ab(d6,tt,ord,nb200k)@1.learned(s98,5801570e,value,lin,129-1,con100)@1.opener(rand,4)@1	W	54	10	9	507.769	570.066	515.625	468.750	27	27	1335980	1770002	129.00	124.00	23	23	1665335402	12
2026-07-26T21:41:01Z	20260726T214014Z	boards/board1.txt	ab(d6,tt,ord,nb200k)@1.learned(s3,68364898,value,lin,129-1,con100)@1.opener(rand,4)@1	rand@1	W	25	16	15	252.275	0.018	203.125	0.000	13	12	686880	0	44.00	0.00	9	0	4265912825	12
2026-07-26T21:41:02Z	20260726T214014Z	boards/board1.txt	ab(d6,tt,ord,nb200k)@1.learned(s6,eac8ab99,value,lin,129-1,con100)@1.opener(rand,4)@1	ab(d6,tt,ord,qs,nb200k)@1.learned(s98,5801570e,value,lin,129-1,con100)@1.opener(rand,4)@1	W	70	6	7	592.343	586.491	437.500	515.625	35	35	1645785	1491428	177.00	172.00	31	31	2759960595	12
2026-07-26T21:41:03Z	20260726T214014Z	boards/board1.txt	ab(d6,tt,ord,nb200k)@1.learned(s76,ef183148,dist,lin,129-1,sig129-1,con100)@1.opener(rand,4)@1	ab(d6,tt,ord,nb200k)@1.learned(s98,5801570e,value,lin,129-1,con100)@1.opener(rand,4)@1	W	72	9	6	815.398	679.853	781.250	562.500	36	36	2084423	2165439	183.00	177.96	32	32	2009041206	12
2026-07-26T21:41:04Z	20260726T214014Z	boards/board1.txt	ab(d6,tt,ord,nb200k)@1.learned(s76,ef183148,dist,lin,129-1,sig129-1,con100)@1.opener(rand,4)@1	rand@1	W	35	16	10	465.125	0.025	421.875	0.000	18	17	1360442	0	74.00	0.00	14	0	2160713069	12
2026-07-26T21:41:04Z	20260726T214014Z	boards/board1.txt	ab(d6,tt,ord,nb200k)@1.learned(s98,5801570e,value,lin,129-1,con100)@1.opener(rand,4)@1	rand@1	W	31	16	14	400.404	0.023	375.000	0.000	16	15	1309226	0	66.00	0.00	12	0	952506862	12
2026-07-26T21:41:06Z	20260726T214014Z	boards/board1.txt	ab(d8,tt,ord,nb2m)@1.classic(t1,c4,w0,l0)@2.opener(rand,4)@1	rand@1	W	25	16	15	2258.758	0.018	2125.000	0.000	13	12	6699833	0	58.00	0.00	9	0	675250986	12
2026-07-26T21:40:15Z	20260726T214015Z	boards/board1.txt	ab(d4)@1.classic(t1,c4,w0,l0)@2.opener(rand,4)@1	ab(d2)@1.classic(t1,c4,w0,l0)@2.opener(rand,4)@1	W	59	9	10	10.154	0.265	15.625	0.000	30	29	166999	3853	102.00	48.00	26	25	874933359	12
2026-07-26T21:40:15Z	20260726T214015Z	boards/board1.txt	ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@2.dil(r63)@1.opener(rand,4)@1	ab(d2)@1.classic(t1,c4,w0,l0)@2.opener(rand,4)@1	B	22	14	16	27.772	0.063	31.250	0.000	11	11	67835	761	6.00	14.00	1	7	2029889827	12
2026-07-26T21:40:16Z	20260726T214015Z	boards/board1.txt	ab(d6,tt,ord,nb200k)@1.learned(s3,68364898,value,lin,129-1,con100)@1.opener(rand,4)@1	ab(d2)@1.classic(t1,c4,w0,l0)@2.opener(rand,4)@1	W	57	12	12	920.648	0.300	859.375	0.000	29	28	2654942	3558	136.00	46.00	25	24	3747454998	12
2026-07-26T21:40:17Z	20260726T214015Z	boards/board1.txt	ab(d6,tt,ord,nb200k)@1.learned(s98,5801570e,value,lin,129-1,con100)@1.opener(rand,4)@1	ab(d2)@1.classic(t1,c4,w0,l0)@2.opener(rand,4)@1	W	59	11	12	981.595	0.307	859.375	0.000	30	29	2880566	3391	141.44	48.00	26	25	1624047909	12
2026-07-26T21:40:17Z	20260726T214015Z	boards/board1.txt	rand@1	ab(d2)@1.classic(t1,c4,w0,l0)@2.opener(rand,4)@1	B	32	15	16	0.010	0.111	0.000	0.000	16	16	0	1559	0.00	24.00	0	12	1947337932	12
2026-07-26T21:40:17Z	20260726T214015Z	boards/board1.txt	ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@2.dil(r63)@1.opener(rand,4)@1	ab(d4)@1.classic(t1,c4,w0,l0)@2.opener(rand,4)@1	B	26	12	16	42.367	4.613	31.250	0.000	13	13	135744	50026	12.00	36.00	2	9	1380509389	12
2026-07-26T21:40:17Z	20260726T214015Z	boards/board1.txt	ab(d6,tt,ord,nb200k)@1.learned(s3,68364898,value,lin,129-1,con100)@1.opener(rand,4)@1	ab(d4)@1.classic(t1,c4,w0,l0)@2.opener(rand,4)@1	B	45	9	12	379.311	4.351	328.125	0.000	23	22	1225493	68209	100.00	72.00	19	18	2272904420	12
2026-07-26T21:40:17Z	20260726T214015Z	boards/board1.txt	ab(d6,tt,ord,nb200k)@1.learned(s98,5801570e,value,lin,129-1,con100)@1.opener(rand,4)@1	ab(d4)@1.classic(t1,c4,w0,l0)@2.opener(rand,4)@1	B	39	12	12	524.627	3.791	468.750	0.000	20	19	1507944	57139	82.00	60.00	16	15	4029118819	12
2026-07-26T21:40:17Z	20260726T214015Z	boards/board1.txt	rand@1	ab(d4)@1.classic(t1,c4,w0,l0)@2.opener(rand,4)@1	B	16	13	16	0.005	0.921	0.000	0.000	8	8	0	12473	0.00	16.00	0	4	2844269626	12
