rank	elo	pm	games	wins	losses	white_wins	white_losses	black_wins	black_losses	avg_plies	ms_move	cpu_ms_move	nodes_move	eff	active	id
1	1183	24	504	442	62	240	12	202	50	37.1	0.253	6.554	973	93	gone	ab(d6,tt,ord,asp100,nb200k)@1.classic(t1,c4,w0,l0)@1
2	1171	24	504	438	66	241	11	197	55	37.6	0.179	5.336	666	95	gone	ab(d6,tt,ord,asp25,nb200k)@1.classic(t1,c4,w0,l0)@1
3	1159	23	504	434	70	249	3	185	67	41.6	8.196	9.591	83762	88	gone	ab(d6,ord,nb200k)@1.classic(t1,c4,w0,l0)@1
4	1145	23	504	429	75	233	19	196	56	38.5	0.177	4.949	664	93	gone	ab(d6,tt,ord,asp50,nb200k)@1.classic(t1,c4,w0,l0)@1
5	1136	23	504	426	78	234	18	192	60	38.3	2.763	7.152	14712	89	gone	ab(d6,tt,nb200k)@1.classic(t1,c4,w0,l0)@1
6	1136	23	504	426	78	234	18	192	60	38.3	2.843	4.995	14822	92	gone	ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@1
7	1094	22	504	410	94	246	6	164	88	37.6	5.282	7.564	124482	85	gone	ab(d6,nb200k)@1.classic(t1,c4,w0,l0)@1
8	1092	36	212	195	17	94	12	101	5	38.0	6.952	7.108	70967	85	on	ab(d6,ord,nb200k)@1.classic(t1,c4,w0,l0)@2
9	1079	26	318	256	62	138	21	118	41	36.7	1.619	5.896	7690	86	gone	ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@1.dil(r15,d3)@1
10	1068	26	318	253	65	139	20	114	45	36.8	0.201	5.997	794	85	gone	ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@1.dil(r15,d4)@1
11	1039	25	318	245	73	129	30	116	43	37.2	2.509	4.726	12591	85	gone	ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@1.dil(r30,d3)@1
12	1039	25	318	245	73	135	24	110	49	37.0	0.143	4.373	545	86	gone	ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@1.dil(r30,d4)@1
13	1022	25	318	240	78	131	28	109	50	37.3	0.325	3.527	1391	87	gone	ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@1.dil(r45,d4)@1
14	1005	25	318	235	83	128	31	107	52	38.3	4.276	7.275	22227	78	gone	ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@1.dil(r4)@1
15	1002	25	318	234	84	128	31	106	53	36.8	1.587	3.408	7551	85	gone	ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@1.dil(r45,d3)@1
16	992	24	318	231	87	124	35	107	52	36.3	0.303	2.652	1329	87	gone	ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@1.dil(r60,d4)@1
17	979	20	504	361	143	182	70	179	73	35.1	1.599	2.017	37827	89	gone	ab(d5)@1.classic(t1,c4,w0,l0)@1
18	976	30	212	175	37	92	14	83	23	37.0	3.953	4.026	19310	81	on	ab(d6,tt,ord,asp100,nb200k)@1.classic(t1,c4,w0,l0)@2
19	975	24	318	226	92	118	41	108	51	37.0	0.724	2.461	3504	87	gone	ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@1.dil(r60,d3)@1
20	961	30	212	172	40	89	17	83	23	35.9	3.908	3.945	19284	80	on	ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@2
21	951	29	212	170	42	89	17	81	25	36.4	4.826	4.872	25041	78	on	ab(d6,tt,nb200k)@1.classic(t1,c4,w0,l0)@2
